rank,school,member,normalized_school,normalized_member,icpc2025preliminary-1,icpc2025preliminary-2,ccpc2025preliminary,icpc2025xi_an,ccpc2025ladies,icpc2025chengdu,icpc2025wuhan,ccpc2025harbin,icpc2025nanjing,ccpc2025jinan,icpc2025shenyang,ccpc2025zhengzhou,icpc2025shanghai,ccpc2025chongqing,icpc2025hongkong,icpc2025ecfinal,ccpc2025final,final_rating,contests_participated
1,清华大学,刘海峰,清华大学,刘海峰,1595,1770,1933,1933,1933,2030,2030,2030,2105,2105,2105,2105,2105,2105,2105,2184,2194,2194,7
1,清华大学,徐骁扬,清华大学,徐骁扬,1595,1770,1933,1933,1933,2030,2030,2030,2105,2105,2105,2105,2105,2105,2105,2184,2194,2194,7
1,清华大学,陈诺,清华大学,陈诺,1595,1770,1933,1933,1933,2030,2030,2030,2105,2105,2105,2105,2105,2105,2105,2184,2194,2194,7
4,北京大学,方心童,北京大学,方心童,1719,1880,2045,2045,2045,2059,2059,2059,2092,2092,2092,2145,2145,2145,2145,2158,2138,2138,8
4,北京大学,蒋承佑,北京大学,蒋承佑,1719,1880,2045,2045,2045,2059,2059,2059,2092,2092,2092,2145,2145,2145,2145,2158,2138,2138,8
4,北京大学,郑钧,北京大学,郑钧,1719,1880,2045,2045,2045,2059,2059,2059,2092,2092,2092,2145,2145,2145,2145,2158,2138,2138,8
7,北京大学,沈吉滪,北京大学,沈吉滪,,1713,1851,1900,1900,1900,1900,1900,1900,1900,2001,2001,2001,2076,2076,2043,2128,2128,7
7,北京大学,郭羽冲,北京大学,郭羽冲,,1713,1851,1900,1900,1900,1900,1900,1900,1900,2001,2001,2001,2076,2076,2043,2128,2128,7
7,北京大学,陈昕阳,北京大学,陈昕阳,,1713,1851,1900,1900,1900,1900,1900,1900,1900,2001,2001,2001,2076,2076,2043,2128,2128,7
10,北京大学,彭博,北京大学,彭博,,1634,1818,1818,1818,1818,1951,1951,1951,2036,2036,2036,2101,2101,2101,2066,2066,2066,6
10,北京大学,施开成,北京大学,施开成,,1634,1818,1818,1818,1818,1951,1951,1951,2036,2036,2036,2101,2101,2101,2066,2066,2066,6
10,北京大学,钱易,北京大学,钱易,,1634,1818,1818,1818,1818,1951,1951,1951,2036,2036,2036,2101,2101,2101,2066,2066,2066,6
13,浙江大学,张湫阳,浙江大学,张湫阳,1688,1743,1857,1857,1857,1857,1795,1799,1799,1799,1893,1893,1893,1942,1942,1985,2027,2027,9
14,浙江大学,侯之远,浙江大学,侯之远,,1549,1722,1722,1722,1722,1722,1747,1747,1747,1856,1856,1856,1915,1915,1965,2013,2013,7
15,浙江大学,朱天煜,浙江大学,朱天煜,1688,1751,1863,1854,1854,1854,1854,1842,1842,1842,1842,1842,1869,1924,1924,1882,1954,1954,9
16,中山大学,刘铭仁,中山大学,刘铭仁,1539,1686,1801,1853,1853,1853,1823,1823,1823,1823,1823,1855,1855,1855,1855,1899,1938,1938,8
16,中山大学,孔德锐,中山大学,孔德锐,1539,1686,1801,1853,1853,1853,1823,1823,1823,1823,1823,1855,1855,1855,1855,1899,1938,1938,8
16,中山大学,董睿嘉,中山大学,董睿嘉,1539,1686,1801,1853,1853,1853,1823,1823,1823,1823,1823,1855,1855,1855,1855,1899,1938,1938,8
16,复旦大学,王瑞藻,复旦大学,王瑞藻,1581,1688,1688,1688,1688,1688,1725,1725,1725,1806,1806,1806,1806,1806,1860,1938,1938,1938,6
20,北京大学,朱剑枫,北京大学,朱剑枫,,1683,1683,1683,1683,1683,1683,1835,1835,1835,1887,1887,1887,1887,1956,1936,1936,1936,5
20,北京大学,李羿辰,北京大学,李羿辰,,1683,1683,1683,1683,1683,1683,1835,1835,1835,1887,1887,1887,1887,1956,1936,1936,1936,5
20,北京大学,王蔚澄,北京大学,王蔚澄,,1683,1683,1683,1683,1683,1683,1835,1835,1835,1887,1887,1887,1887,1956,1936,1936,1936,5
23,清华大学,戚朗瑞,清华大学,戚朗瑞,,1621,1796,1893,1893,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1934,1934,1934,5
23,清华大学,程思元,清华大学,程思元,,1621,1796,1893,1893,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1934,1934,1934,5
23,清华大学,魏佳泽,清华大学,魏佳泽,,1621,1796,1893,1893,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1934,1934,1934,5
26,上海交通大学,冯启豫,上海交通大学,冯启豫,,,,1657,1657,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1930,1930,1930,3
26,上海交通大学,刘家宁,上海交通大学,刘家宁,,,,1657,1657,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1930,1930,1930,3
26,上海交通大学,朱泽木,上海交通大学,朱泽木,,,,1657,1657,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1930,1930,1930,3
29,清华大学,仲煦北,清华大学,仲煦北,1583,1713,1799,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1929,1917,1917,6
29,清华大学,史家丞,清华大学,史家丞,1583,1713,1799,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1929,1917,1917,6
29,清华大学,李静榕,清华大学,李静榕,1583,1713,1799,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1929,1917,1917,6
32,复旦大学,张圣皓,复旦大学,张圣皓,1581,1688,1688,1688,1688,1688,1725,1725,1725,1806,1806,1806,1806,1806,1860,1938,1910,1910,7
32,复旦大学,朱翔宇,复旦大学,朱翔宇,1581,1688,1688,1688,1688,1688,1725,1725,1725,1806,1806,1806,1806,1806,1860,1938,1910,1910,7
34,浙江大学,严子轩,浙江大学,严子轩,1688,1743,1743,1743,1743,1743,1711,1711,1711,1711,1830,1830,1830,1830,1830,1905,1905,1905,5
35,清华大学,李昕然,清华大学,李昕然,1587,1713,1830,1830,1830,1830,1830,1830,1889,1903,1903,1903,1903,1903,1903,1903,1903,1903,5
35,清华大学,胡赵阳,清华大学,胡赵阳,1587,1713,1830,1830,1830,1830,1830,1830,1889,1903,1903,1903,1903,1903,1903,1903,1903,1903,5
35,清华大学,黄洛天,清华大学,黄洛天,1587,1713,1830,1830,1830,1830,1830,1830,1889,1903,1903,1903,1903,1903,1903,1903,1903,1903,5
38,清华大学,任舍予,清华大学,任舍予,1605,1746,1746,1746,1746,1746,1746,1746,1809,1809,1809,1899,1899,1899,1899,1899,1899,1899,4
38,清华大学,郑玄晔,清华大学,郑玄晔,1605,1746,1746,1746,1746,1746,1746,1746,1809,1809,1809,1899,1899,1899,1899,1899,1899,1899,4
38,清华大学,郭雨豪,清华大学,郭雨豪,1605,1746,1746,1746,1746,1746,1746,1746,1809,1809,1809,1899,1899,1899,1899,1899,1899,1899,4
41,北京大学,张恒毅,北京大学,张恒毅,1670,1749,1869,1869,1869,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,4
41,北京大学,李铭乐洋,北京大学,李铭乐洋,1670,1749,1869,1869,1869,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,4
41,北京大学,翟锦程,北京大学,翟锦程,1670,1749,1869,1869,1869,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,4
44,浙江大学,徐锐扬,浙江大学,徐锐扬,1522,1604,1712,1712,1712,1745,1790,1790,1790,1841,1841,1841,1841,1879,1879,1807,1864,1864,9
45,哈尔滨工业大学,方智鉴,哈尔滨工业大学,方智鉴,1598,1639,1706,1706,1706,1706,1615,1615,1615,1744,1744,1744,1744,1744,1780,1818,1863,1863,9
45,哈尔滨工业大学,杜沛键,哈尔滨工业大学,杜沛键,1527,1619,1706,1706,1706,1706,1615,1615,1615,1744,1744,1744,1744,1744,1780,1818,1863,1863,9
45,哈尔滨工业大学,雷钧森,哈尔滨工业大学,雷钧森,1598,1639,1706,1706,1706,1706,1615,1615,1615,1744,1744,1744,1744,1744,1780,1818,1863,1863,9
48,北京大学,柯怿憬,北京大学,柯怿憬,,1652,1652,1652,1652,1652,1758,1758,1758,1758,1758,1758,1861,1861,1861,1861,1861,1861,3
48,北京大学,柯绎思,北京大学,柯绎思,,1652,1652,1652,1652,1652,1758,1758,1758,1758,1758,1758,1861,1861,1861,1861,1861,1861,3
48,北京大学,谢梓涵,北京大学,谢梓涵,,1652,1652,1652,1652,1652,1758,1758,1758,1758,1758,1758,1861,1861,1861,1861,1861,1861,3
51,清华大学,曹立,清华大学,曹立,,1573,1693,1693,1693,1693,1829,1829,1829,1829,1829,1829,1829,1829,1829,1849,1849,1849,4
51,清华大学,闫陈效,清华大学,闫陈效,,1573,1693,1693,1693,1693,1829,1829,1829,1829,1829,1829,1829,1829,1829,1849,1849,1849,4
51,清华大学,陈实,清华大学,陈实,,1573,1693,1693,1693,1693,1829,1829,1829,1829,1829,1829,1829,1829,1829,1849,1849,1849,4
54,北京大学,严思珩,北京大学,严思珩,1538,1629,1746,1746,1746,1746,1746,1746,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,4
54,北京大学,翟鹏昊,北京大学,翟鹏昊,1538,1629,1746,1746,1746,1746,1746,1746,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,4
54,北京大学,葛致远,北京大学,葛致远,1538,1629,1746,1746,1746,1746,1746,1746,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843,4
57,北京大学,孙培轩,北京大学,孙培轩,1632,1732,1732,1732,1732,1732,1824,1824,1824,1824,1824,1824,1842,1842,1842,1842,1842,1842,4
57,北京大学,章弥炫,北京大学,章弥炫,1632,1732,1732,1732,1732,1732,1824,1824,1824,1824,1824,1824,1842,1842,1842,1842,1842,1842,4
57,北京大学,陈哲章,北京大学,陈哲章,1632,1732,1732,1732,1732,1732,1824,1824,1824,1824,1824,1824,1842,1842,1842,1842,1842,1842,4
60,电子科技大学,汪澄,电子科技大学,汪澄,1621,1621,1668,1668,1668,1668,1714,1714,1744,1852,1852,1852,1852,1852,1852,1853,1838,1838,7
61,香港中文大学,谢昶豪,香港中文大学,谢昶豪,1570,1628,1628,1628,1628,1628,1719,1719,1719,1719,1751,1751,1751,1751,1751,1834,1834,1834,5
61,香港中文大学,黄进,香港中文大学,黄进,1570,1628,1628,1628,1628,1628,1719,1719,1719,1719,1751,1751,1751,1751,1751,1834,1834,1834,5
63,电子科技大学,梁育诚,电子科技大学,梁育诚,1621,1621,1633,1633,1633,1633,1690,1690,1727,1840,1840,1840,1840,1840,1840,1844,1832,1832,7
64,北京大学,吴泽岳,北京大学,吴泽岳,1608,1764,1764,1764,1764,1764,1764,1764,1831,1831,1831,1831,1831,1831,1831,1831,1831,1831,3
64,北京大学,孙恒喆,北京大学,孙恒喆,1608,1764,1764,1764,1764,1764,1764,1764,1831,1831,1831,1831,1831,1831,1831,1831,1831,1831,3
64,北京大学,陈凯丰,北京大学,陈凯丰,1608,1764,1764,1764,1764,1764,1764,1764,1831,1831,1831,1831,1831,1831,1831,1831,1831,1831,3
67,杭州电子科技大学,何卓锟,杭州电子科技大学,何卓锟,1532,1532,1690,1765,1765,1765,1761,1771,1771,1771,1771,1771,1771,1874,1874,1814,1830,1830,8
67,杭州电子科技大学,马文浩,杭州电子科技大学,马文浩,1532,1532,1690,1765,1765,1765,1761,1771,1771,1771,1771,1771,1771,1874,1874,1814,1830,1830,8
67,杭州电子科技大学,黄光升,杭州电子科技大学,黄光升,1532,1532,1690,1765,1765,1765,1761,1771,1771,1771,1771,1771,1771,1874,1874,1814,1830,1830,8
70,北京大学,周泽坤,北京大学,周泽坤,1601,1735,1735,1735,1735,1735,1735,1735,1735,1735,1828,1828,1828,1828,1828,1828,1828,1828,3
70,北京大学,徐恺,北京大学,徐恺,1601,1735,1735,1735,1735,1735,1735,1735,1735,1735,1828,1828,1828,1828,1828,1828,1828,1828,3
70,北京大学,焦思源,北京大学,焦思源,1601,1735,1735,1735,1735,1735,1735,1735,1735,1735,1828,1828,1828,1828,1828,1828,1828,1828,3
70,广东工业大学,庞翔,广东工业大学,庞翔,1550,1658,1727,1727,1727,1787,1787,1787,1813,1813,1813,1813,1813,1831,1831,1828,1828,1828,7
74,北京交通大学,夏鹤鸣,北京交通大学,夏鹤鸣,,,1585,1585,1585,1585,1585,1735,1735,1785,1785,1785,1785,1785,1785,1785,1826,1826,4
74,北京交通大学,斯修远,北京交通大学,斯修远,,,1585,1585,1585,1585,1585,1735,1735,1785,1785,1785,1785,1785,1785,1785,1826,1826,4
74,北京交通大学,郭昱哲,北京交通大学,郭昱哲,,,1585,1585,1585,1585,1585,1735,1735,1785,1785,1785,1785,1785,1785,1785,1826,1826,4
77,东北大学,张佳栋,东北大学,张佳栋,1536,1675,1703,1703,1703,1747,1752,1752,1752,1752,1752,1839,1839,1855,1855,1850,1824,1824,9
77,东北大学,苏焜,东北大学,苏焜,1536,1675,1703,1703,1703,1747,1752,1752,1752,1752,1752,1839,1839,1855,1855,1850,1824,1824,9
77,东北大学,谢天石,东北大学,谢天石,1536,1675,1703,1703,1703,1747,1752,1752,1752,1752,1752,1839,1839,1855,1855,1850,1824,1824,9
80,清华大学,林卓铖,清华大学,林卓铖,1612,1716,1804,1804,1804,1781,1781,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,5
80,清华大学,汪直方,清华大学,汪直方,1612,1716,1804,1804,1804,1781,1781,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,5
80,清华大学,黄思远,清华大学,黄思远,1612,1716,1804,1804,1804,1781,1781,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818,5
83,中国科学技术大学,孙志浩,中国科学技术大学,孙志浩,1573,1654,1743,1743,1743,1780,1780,1780,1813,1813,1813,1857,1857,1857,1857,1876,1814,1814,8
83,中国科学技术大学,梁嘉文,中国科学技术大学,梁嘉文,1573,1654,1743,1743,1743,1780,1780,1780,1813,1813,1813,1857,1857,1857,1857,1876,1814,1814,8
85,清华大学,李宁远,清华大学,李宁远,1616,1656,1784,1784,1784,1784,1806,1806,1806,1809,1809,1809,1809,1809,1809,1809,1809,1809,5
85,清华大学,苏明阳,清华大学,苏明阳,1616,1656,1784,1784,1784,1784,1806,1806,1806,1809,1809,1809,1809,1809,1809,1809,1809,1809,5
85,清华大学,郭米乐,清华大学,郭米乐,1616,1656,1784,1784,1784,1784,1806,1806,1806,1809,1809,1809,1809,1809,1809,1809,1809,1809,5
88,中山大学,吴永聪,中山大学,吴永聪,1537,1537,1690,1690,1690,1690,1808,1808,1797,1797,1797,1797,1797,1859,1859,1881,1806,1806,7
88,中山大学,薛炜鹏,中山大学,薛炜鹏,1537,1537,1690,1690,1690,1690,1808,1808,1797,1797,1797,1797,1797,1859,1859,1881,1806,1806,7
88,中山大学,陈景泰,中山大学,陈景泰,1537,1537,1690,1690,1690,1690,1808,1808,1797,1797,1797,1797,1797,1859,1859,1881,1806,1806,7
91,武汉大学,李佳隆,武汉大学,李佳隆,1546,1637,1664,1664,1664,1664,1664,1664,1721,1721,1794,1794,1794,1775,1775,1737,1800,1800,8
91,武汉大学,潘非,武汉大学,潘非,1546,1637,1664,1664,1664,1664,1664,1664,1721,1721,1794,1794,1794,1775,1775,1737,1800,1800,8
91,武汉大学,熊师飏,武汉大学,熊师飏,1546,1637,1664,1664,1664,1664,1664,1664,1721,1721,1794,1794,1794,1775,1775,1737,1800,1800,8
94,北京大学,史皓嘉,北京大学,史皓嘉,1647,1780,1781,1781,1781,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,4
94,北京大学,袁浩为,北京大学,袁浩为,1647,1780,1781,1781,1781,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,4
94,北京大学,鲜博宇,北京大学,鲜博宇,1647,1780,1781,1781,1781,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,4
97,中国科学技术大学,范宇祺,中国科学技术大学,范宇祺,1573,1654,1654,1654,1654,1718,1718,1718,1769,1769,1769,1826,1826,1826,1826,1854,1798,1798,7
97,香港中文大学,卢沂锋,香港中文大学,卢沂锋,,1516,1516,1516,1516,1516,1644,1644,1644,1644,1698,1698,1698,1698,1698,1798,1798,1798,4
99,浙江大学,吴与伦,浙江大学,吴与伦,,,1577,1577,1577,1652,1725,1725,1725,1795,1795,1795,1795,1847,1847,1784,1784,1784,6
100,复旦大学,苏逸恒,复旦大学,苏逸恒,1534,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1726,1726,1726,1757,1782,1782,5
101,上海交通大学,唐星珣,上海交通大学,唐星珣,1533,1629,1698,1698,1698,1698,1698,1768,1768,1768,1768,1768,1835,1835,1860,1821,1780,1780,8
101,上海交通大学,李俊毅,上海交通大学,李俊毅,1533,1629,1698,1698,1698,1698,1698,1768,1768,1768,1768,1768,1835,1835,1860,1821,1780,1780,8
101,上海交通大学,杨崇烨,上海交通大学,杨崇烨,1533,1629,1698,1698,1698,1698,1698,1768,1768,1768,1768,1768,1835,1835,1860,1821,1780,1780,8
104,清华大学,胡昊,清华大学,胡昊,1590,1679,1731,1731,1731,1731,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,4
104,清华大学,褚轩宇,清华大学,褚轩宇,1590,1679,1731,1731,1731,1731,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,4
104,清华大学,陈紫阳,清华大学,陈紫阳,1590,1679,1731,1731,1731,1731,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,4
107,浙江大学,周学诚,浙江大学,周学诚,,1556,1630,1687,1687,1687,1687,1732,1732,1732,1732,1732,1790,1765,1765,1769,1769,1769,7
107,浙江大学,应宸宇,浙江大学,应宸宇,,1556,1630,1687,1687,1687,1687,1732,1732,1732,1732,1732,1790,1765,1765,1769,1769,1769,7
109,浙江大学,万弘,浙江大学,万弘,,1524,1658,1658,1658,1708,1764,1764,1764,1764,1764,1764,1764,1825,1825,1768,1768,1768,6
110,复旦大学,徐子恩,复旦大学,徐子恩,1657,1778,1778,1778,1778,1850,1850,1850,1876,1843,1843,1862,1862,1862,1862,1863,1762,1762,8
110,复旦大学,阚子淳,复旦大学,阚子淳,1657,1778,1778,1778,1778,1850,1850,1850,1876,1843,1843,1862,1862,1862,1862,1863,1762,1762,8
110,复旦大学,陈佳鹏,复旦大学,陈佳鹏,1657,1778,1778,1778,1778,1850,1850,1850,1876,1843,1843,1862,1862,1862,1862,1863,1762,1762,8
110,清华大学,唐一文,清华大学,唐一文,1626,1660,1733,1733,1733,1733,1733,1733,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,4
110,清华大学,舒熙皓,清华大学,舒熙皓,1626,1660,1733,1733,1733,1733,1733,1733,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,4
110,清华大学,马梓航,清华大学,马梓航,1626,1660,1733,1733,1733,1733,1733,1733,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,4
116,电子科技大学,陈奕可,电子科技大学,陈奕可,1621,1621,1621,1621,1621,1621,1681,1681,1721,1721,1721,1721,1721,1721,1721,1761,1761,1761,4
117,上海交通大学,林乐逍,上海交通大学,林乐逍,1529,1586,1610,1610,1610,1722,1722,1722,1725,1744,1744,1744,1744,1744,1744,1760,1760,1760,7
117,上海交通大学,钱智煊,上海交通大学,钱智煊,1529,1586,1610,1610,1610,1722,1722,1722,1725,1744,1744,1744,1744,1744,1744,1760,1760,1760,7
117,上海交通大学,黄佳瑞,上海交通大学,黄佳瑞,1529,1586,1610,1610,1610,1722,1722,1722,1725,1744,1744,1744,1744,1744,1744,1760,1760,1760,7
120,香港中文大学（深圳）,周莫非,香港中文大学深圳,周莫非,1577,1623,1663,1663,1663,1663,1663,1663,1681,1695,1695,1695,1695,1695,1734,1757,1758,1758,8
120,香港中文大学（深圳）,王泽诚,香港中文大学深圳,王泽诚,1577,1623,1663,1663,1663,1663,1663,1663,1681,1695,1695,1695,1695,1695,1734,1757,1758,1758,8
120,香港中文大学（深圳）,陈嘉年,香港中文大学深圳,陈嘉年,1577,1623,1663,1663,1663,1663,1663,1663,1681,1695,1695,1695,1695,1695,1734,1757,1758,1758,8
123,中国人民大学,颜黎,中国人民大学,颜黎,1531,1558,1625,1625,1625,1625,1625,1625,1661,1661,1703,1724,1724,1724,1724,1727,1757,1757,8
123,复旦大学,文凯杰,复旦大学,文凯杰,1534,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1726,1726,1726,1757,1757,1757,4
123,复旦大学,胡予衡,复旦大学,胡予衡,1534,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1726,1726,1726,1757,1757,1757,4
126,北京大学,李嘉佑,北京大学,李嘉佑,,1534,1684,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,3
126,北京大学,蔡立一,北京大学,蔡立一,,1534,1684,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,3
126,北京大学,马未然,北京大学,马未然,,1534,1684,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,1754,3
129,上海交通大学,朱添翼,上海交通大学,朱添翼,1528,1607,1676,1676,1676,1676,1722,1722,1722,1722,1758,1760,1760,1760,1760,1794,1751,1751,8
129,上海交通大学,江若泓,上海交通大学,江若泓,1528,1607,1676,1676,1676,1676,1722,1722,1722,1722,1758,1760,1760,1760,1760,1794,1751,1751,8
129,上海交通大学,谭钧豪,上海交通大学,谭钧豪,1528,1607,1676,1676,1676,1676,1722,1722,1722,1722,1758,1760,1760,1760,1760,1794,1751,1751,8
132,中国人民大学,施涵森,中国人民大学,施涵森,1470,1517,1552,1552,1552,1552,1552,1552,1612,1612,1669,1700,1700,1700,1700,1710,1745,1745,8
133,清华大学,张怀沙,清华大学,张怀沙,1503,1565,1672,1672,1672,1672,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,4
133,清华大学,张睿阳,清华大学,张睿阳,1503,1565,1672,1672,1672,1672,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,4
133,清华大学,王锦博,清华大学,王锦博,1503,1565,1672,1672,1672,1672,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,4
136,四川大学,杨轶涵,四川大学,杨轶涵,1522,1608,1670,1670,1670,1670,1688,1688,1713,1752,1752,1752,1752,1752,1752,1710,1741,1741,8
136,四川大学,熊一鸣,四川大学,熊一鸣,1522,1608,1670,1670,1670,1670,1688,1688,1713,1752,1752,1752,1752,1752,1752,1710,1741,1741,8
138,清华大学,周与锋,清华大学,周与锋,1560,1653,1686,1686,1686,1686,1686,1686,1686,1739,1739,1739,1739,1739,1739,1739,1739,1739,4
138,清华大学,颜桉,清华大学,颜桉,1560,1653,1686,1686,1686,1686,1686,1686,1686,1739,1739,1739,1739,1739,1739,1739,1739,1739,4
138,清华大学,黄子睿,清华大学,黄子睿,1560,1653,1686,1686,1686,1686,1686,1686,1686,1739,1739,1739,1739,1739,1739,1739,1739,1739,4
141,南京大学,张瑞珉,南京大学,张瑞珉,1571,1711,1759,1759,1759,1759,1746,1746,1746,1744,1744,1769,1769,1769,1729,1720,1738,1738,9
141,南京大学,朱羽宽,南京大学,朱羽宽,1571,1711,1759,1759,1759,1759,1746,1746,1746,1744,1744,1769,1769,1769,1729,1720,1738,1738,9
141,南京大学,陈子达,南京大学,陈子达,1571,1711,1759,1759,1759,1759,1746,1746,1746,1744,1744,1769,1769,1769,1729,1720,1738,1738,9
141,浙江大学,张厚华,浙江大学,张厚华,1506,1650,1673,1673,1673,1699,1720,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,6
141,浙江大学,朱睿哲,浙江大学,朱睿哲,1506,1650,1673,1673,1673,1699,1720,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,6
146,北京理工大学,王翔宇,北京理工大学,王翔宇,1468,1519,1565,1565,1565,1565,1565,1565,1602,1602,1602,1602,1602,1704,1704,1735,1735,1735,6
147,广东工业大学,杨子弘,广东工业大学,杨子弘,1550,1658,1727,1727,1727,1787,1787,1787,1813,1813,1813,1813,1813,1831,1831,1828,1734,1734,8
147,广东工业大学,林正,广东工业大学,林正,1550,1658,1727,1727,1727,1787,1787,1787,1813,1813,1813,1813,1813,1831,1831,1828,1734,1734,8
149,南方科技大学,杨博文,南方科技大学,杨博文,1592,1651,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,1733,3
149,复旦大学,戴承皓,复旦大学,戴承皓,1567,1656,1656,1656,1656,1655,1655,1655,1711,1711,1711,1733,1733,1733,1733,1733,1733,1733,5
149,复旦大学,杨辰浩,复旦大学,杨辰浩,1567,1656,1656,1656,1656,1655,1655,1655,1711,1711,1711,1733,1733,1733,1733,1733,1733,1733,5
149,复旦大学,潘梓睿,复旦大学,潘梓睿,1567,1656,1656,1656,1656,1655,1655,1655,1711,1711,1711,1733,1733,1733,1733,1733,1733,1733,5
153,南京大学,刘玉琢,南京大学,刘玉琢,1556,1660,1671,1671,1671,1676,1676,1664,1664,1664,1664,1664,1713,1713,1713,1729,1729,1729,7
153,南京大学,叶昱圻,南京大学,叶昱圻,1556,1660,1671,1671,1671,1676,1676,1664,1664,1664,1664,1664,1713,1713,1713,1729,1729,1729,7
153,南京大学,黄亮,南京大学,黄亮,1556,1660,1671,1671,1671,1676,1676,1664,1664,1664,1664,1664,1713,1713,1713,1729,1729,1729,7
156,中国人民大学,江易洋,中国人民大学,江易洋,1488,1576,1624,1624,1624,1624,1624,1624,1661,1661,1703,1724,1724,1724,1724,1727,1727,1727,7
157,哈尔滨工业大学,丁文涛,哈尔滨工业大学,丁文涛,1535,1667,1741,1741,1741,1741,1811,1811,1811,1811,1837,1801,1801,1794,1794,1793,1725,1725,9
157,哈尔滨工业大学,张城玮,哈尔滨工业大学,张城玮,1535,1667,1741,1741,1741,1741,1811,1811,1811,1811,1837,1801,1801,1794,1794,1793,1725,1725,9
157,哈尔滨工业大学,张彭凯,哈尔滨工业大学,张彭凯,1535,1667,1741,1741,1741,1741,1811,1811,1811,1811,1837,1801,1801,1794,1794,1793,1725,1725,9
160,复旦大学,曾添琪,复旦大学,曾添琪,1639,1666,1666,1666,1666,1666,1719,1719,1719,1719,1686,1724,1724,1724,1724,1724,1724,1724,5
160,复旦大学,李天呈,复旦大学,李天呈,1639,1666,1666,1666,1666,1666,1719,1719,1719,1719,1686,1724,1724,1724,1724,1724,1724,1724,5
160,复旦大学,郑杞珩,复旦大学,郑杞珩,1639,1666,1666,1666,1666,1666,1719,1719,1719,1719,1686,1724,1724,1724,1724,1724,1724,1724,5
163,四川大学,王鹏超,四川大学,王鹏超,1522,1608,1670,1670,1670,1670,1688,1688,1713,1752,1752,1709,1709,1709,1709,1680,1721,1721,9
163,浙江大学,王羽立,浙江大学,王羽立,1526,1569,1452,1452,1452,1452,1504,1504,1570,1593,1593,1593,1593,1593,1593,1593,1721,1721,7
163,清华大学,周子哲,清华大学,周子哲,1519,1648,1662,1662,1662,1662,1662,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,4
163,清华大学,朱珈良,清华大学,朱珈良,1519,1648,1662,1662,1662,1662,1662,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,4
163,清华大学,牛宏昊,清华大学,牛宏昊,1519,1648,1662,1662,1662,1662,1662,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,4
168,中山大学,刘翔乐,中山大学,刘翔乐,1557,1665,1670,1670,1670,1694,1694,1617,1617,1617,1617,1617,1702,1702,1702,1720,1720,1720,7
168,中山大学,高祖伟,中山大学,高祖伟,1557,1665,1670,1670,1670,1694,1694,1617,1617,1617,1617,1617,1702,1702,1702,1720,1720,1720,7
